Username,Firstname,Lastname,Middlename,Contactnumber, Campusname,Password,Userrole,DOB,Image,Major,DateOfGraduation,Address Line1,Address Line2,Zipcode,State,City,NUID
bakshi.a@husky.neu.edu,Apurva,Bakshi,A,8796787890,Boston,apurva123,Incoming Student,10/13/1992,F:\AED_Project\Source Code\aed-project\NEUPlexus\images,IS,8/30/2020,231 Huntington Ave,Apt 3,2123,MA,Boston,11203
sharma.new@husky.neu.edu,Newzy,Sharma,A,8796787890,Boston,apurva123,Current Student,10/13/1992,C:/abc,IS,8/30/2020,231 Huntington Ave,Apt 3,2123,MA,Boston,11203
test,Apurva,Bakshi,A,8796787890,Boston,test,Admin,10/13/1992,C:/abc,IS,8/30/2020,231 Huntington Ave,Apt 3,2123,MA,Boston,11203
test1,Newzy,Sharma,A,8796787890,Boston,test,Current Student,10/13/1992,C:/abc,IS,8/30/2020,231 Huntington Ave,Apt 3,2123,MA,Boston,11203
pathak.sha@husky.neu.edu,shardul,pathak,swaroop,8573344033,Boston,test,Alumni,5/4/1994,C:/abc,IS,8/30/2020,39 hemenway street,apt 10,2115,MA,Boston,11203
dhawan.yash@husky.neu.edu,Yash,Dhawan,Y,8578914640,Boston,yash112494,CurrentStudent,11/24/1994,C:/abc,EM,8/30/2020,34 Mass Avenue,Apt 550,2116,MA,Boston,5732
dhawan.misha@husky.neu.edu,Misha,Dhawan,M,8578914641,Boston,misha71793,IncomingStudent,7/17/1993,C:/abc,EM,8/30/2020,HouseNb 701,Sector 11B,160011,Chandigarh,Chandigarh,5732
jindal.khushboo@husky.neu.edu,Khushboo,Jindal,K,8578914642,Boston,khush10295,IncomingStudent,10/2/1995,C:/abc,CS,8/30/2020,HouseNb 702,Sector 11B,160011,Chandigarh,Chandigarh,5732
manoca.naman@husky.neu.edu,Naman,Manocha,N,8578914643,Boston,naman20993,IncomingStudent,9/20/1993,C:/abc,CS,8/30/2020,HouseNb 704,Sector 11B,160011,Chandigarh,Chandigarh,5732
bhavn.sharma@husky.neu.edu,Bhavn,Sharma,B,8578914644,Boston,bhavn1699,IncomingStudent,1/6/1999,C:/abc,CS,8/30/2020,HouseNb 705,Sector 11B,160011,Chandigarh,Chandigarh,5732
shelly.madan@husky.neu.edu,Shelly,Madan,S,8578914645,Boston,shelly11891,IncomingStudent,1/18/1991,C:/abc,IS,8/30/2020,HouseNb 706,Sector 11B,160011,Chandigarh,Chandigarh,5732
manocha.newzy@husky.neu.edu,Newzy,Manocha,N,8578914646,Boston,newzy209,IncomingStudent,9/20/1993,C:/abc,IS,8/30/2020,HouseNb 707,Sector 11B,160011,Chandigarh,Chandigarh,5732
aggarwal.rinkle@husky.neu.edu,Rinkle ,Aggarwal,R,8578914647,Boston,rinkle2195,IncomingStudent,2/1/1995,C:/abc,IS,8/30/2020,HouseNb 708,Sector 11B,160011,Chandigarh,Chandigarh,5732
gupta.neha@husky.neu.edu,Neha,Gupta,N,8578914648,Boston,neha2290,IncomingStudent,2/2/1990,C:/abc,IS,8/30/2020,HouseNb 709,Sector 11B,160011,Chandigarh,Chandigarh,5732
oberoi.anmol@husky.neu.edu,Anmol ,Oberoi,A,8578914649,Boston,anmol2393,CurrentStudent,2/3/1993,C:/abc,IS,8/30/2020,115 St Stephen Street,Apt 11,2115,MA,Boston,5732
sharma.prerna@husky.neu.edu,Prerna,Sharma,P,8578914650,Boston,prerna2495,CurrentStudent,2/4/1995,C:/abc,CS,8/30/2020,115 St Stephen Street,Apt 12,2115,MA,Boston,5732
bhasin.divya@husky.neu.edu,Divya,Bhasin,D,8578914651,Boston,divya2593,CurrentStudent,2/5/1993,C:/abc,CS,8/30/2020,115 St Stephen Street,Apt 13,2115,MA,Boston,5732
dhiman.sheryl@husky.neu.edu,Sheryl,Dhiman,S,8578914652,Boston,sheryl2693,IncomingStudent,2/6/1993,C:/abc,EM,8/30/2020,HouseNb 710,Sector 11B,160011,Chandigarh,Chandigarh,5732
singh.vikas@husky.neu.edu,Vikas,Singh,V,8578914653,Boston,vikas112992,CurrentStudent,11/29/1992,C:/abc,EM,8/30/2020,34 Mass Avenue,Apt 14,2116,MA,Boston,5732
